seed,domain,exact_local_utility,hungarian_utility,percent_of_exact_local,selected_ues,allowed_ues,demand_copies,physical_slots,fully_selected_before_repair,partially_selected_before_repair,repair_drops,refills,swap_used
18,4,65.1194567864438,65.1194567864438,100.0,5,10,42,20,4,1,1,2,True
18,5,63.6588791798638,63.6588791798638,100.0,5,10,39,20,5,0,0,0,False
18,6,68.6892634316804,68.6892634316804,100.0,6,12,44,20,6,1,0,0,True
18,7,85.99947049576204,82.890045190683,96.38436691859367,5,12,46,20,4,1,0,1,False
18,8,67.63632293783549,67.63632293783549,100.0,6,12,42,20,5,1,0,1,False
18,9,68.60150331159673,68.60150331159673,100.0,5,10,36,20,4,1,0,1,False
19,0,64.65531171093339,59.38743292290502,91.85236502828961,5,10,41,20,5,1,0,0,True
19,1,82.5531064877459,81.71285246575313,98.9821654717288,5,12,49,20,5,1,0,0,True
19,2,69.7298564427312,69.7298564427312,100.0,5,12,44,20,5,1,0,0,False
19,3,67.00696709491186,67.00696709491186,100.0,6,12,48,20,5,1,0,1,True
19,4,77.55006117902971,77.55006117902971,100.0,5,10,45,20,4,1,0,1,False
19,5,63.7102029778484,63.7102029778484,100.0,4,10,45,20,4,1,0,0,True
19,6,67.74373237805287,67.51664272560515,99.66478130968572,5,12,50,20,4,1,0,1,False
19,7,78.88997602774923,78.88997602774923,100.0,4,12,50,20,4,1,0,0,True
19,8,78.50267966233804,78.50267966233804,100.0,4,12,46,20,4,1,0,0,False
19,9,69.71904945431801,69.71904945431801,100.0,5,10,40,20,5,1,0,0,True
20,0,84.49490082163746,84.49490082163746,100.0,5,10,37,20,4,1,0,1,False
20,1,68.7312281075155,67.66454252406469,98.4480335753899,6,12,38,20,6,1,0,0,False
20,2,82.31548965064214,82.02285886246476,99.64450094457393,5,12,40,20,5,1,0,0,False
20,3,74.6741585735012,70.50981639564571,94.42331556537519,6,12,48,20,5,1,0,1,True
20,4,80.40747691866805,80.40747691866805,100.0,6,10,36,20,6,0,0,0,False
20,5,77.43053552227407,77.43053552227407,100.0,5,10,37,20,5,1,0,0,False
20,6,80.6024559206646,80.6024559206646,100.0,4,12,51,20,4,1,0,0,True
20,7,83.4946287677334,83.4946287677334,100.00000000000001,5,12,46,20,5,0,0,0,False
20,8,62.7606909618049,62.7606909618049,100.0,5,12,54,20,4,0,1,2,False
20,9,68.68403019566271,68.68403019566271,100.0,5,10,35,20,5,0,0,0,False
21,0,70.62858254349572,70.57319823766778,99.92158372172649,5,10,42,20,4,1,0,1,False
21,1,72.34868738504687,72.34868738504687,100.0,5,12,55,20,4,0,1,2,True
21,2,67.24747666289288,67.24747666289288,100.0,5,12,46,20,4,1,0,1,True
21,3,74.19831706754019,71.2271066922877,95.99558252440161,5,12,48,20,4,1,0,1,True
21,4,74.87510752670872,74.87510752670872,100.0,6,10,41,20,6,0,0,0,False
21,5,71.7714917407118,71.7714917407118,100.0,5,10,41,20,5,1,0,0,True
21,6,74.79389595042231,74.57200672053358,99.70333243499468,6,12,47,20,6,1,0,0,False
21,7,71.57084455010475,71.57084455010475,100.0,7,12,42,20,6,1,0,1,False
21,8,80.53785200525748,80.53785200525748,100.0,6,12,42,20,5,1,0,1,False
21,9,81.34019046913264,80.08889857294187,98.46165605345415,4,10,42,20,3,1,0,1,False
22,0,75.73326846652162,75.73326846652162,100.0,5,10,44,20,4,1,0,1,False
22,1,76.81723021681564,73.79347692111033,96.063704344493,5,12,52,20,4,1,1,2,False
22,2,69.51165550944923,69.51165550944923,100.0,4,12,54,20,4,1,1,1,True
22,3,78.4342920257595,76.68037240432675,97.76383572015065,4,12,49,20,4,1,0,0,True
22,4,75.87381477936988,75.87381477936988,100.0,4,10,42,20,4,0,1,1,False
22,5,79.85761504362826,79.85761504362826,100.0,4,10,43,20,4,1,0,0,False
22,6,79.04029604974576,79.04029604974576,100.0,3,12,57,20,3,1,0,0,False
22,7,73.07285796861699,73.07285796861699,100.0,3,12,59,20,3,1,0,0,False
22,8,70.58730038062629,70.58730038062629,100.0,6,12,50,20,4,1,1,3,False
22,9,81.50429704228117,81.50429704228117,100.0,5,10,46,20,4,0,1,2,False
23,0,65.07102639317031,65.07102639317031,100.0,5,10,40,20,5,1,0,0,False
23,1,83.54326540785404,83.54326540785404,100.0,4,12,55,20,4,0,1,1,False
23,2,63.70182510427275,63.70182510427275,100.0,4,12,56,20,4,0,1,1,True
23,3,71.69050492393146,69.37382327368526,96.76849583818058,6,12,41,20,6,1,0,0,False
23,4,72.20218699331042,72.20218699331042,100.0,5,10,42,20,4,1,0,1,False
23,5,76.995745215763,76.995745215763,100.0,3,10,48,20,3,1,0,0,False
23,6,90.38143057909608,90.38143057909608,99.99999999999999,5,12,47,20,4,1,0,1,True
23,7,76.98349948397784,76.98349948397784,100.0,4,12,60,20,4,0,1,1,False
23,8,63.38013550697579,61.47633347256185,96.99621652875071,6,12,46,20,5,1,0,1,True
23,9,71.44044771378616,71.44044771378616,100.0,5,10,44,20,4,1,0,1,False
24,0,72.28379608039768,72.28379608039768,100.0,5,10,41,20,5,1,0,0,True
24,1,73.12262156958768,72.62513876839891,99.31965951095539,6,12,46,20,5,1,0,1,False
24,2,70.82203421779892,70.82203421779892,100.0,5,12,43,20,5,1,0,0,True
24,3,67.82249080134673,64.68575648099264,95.37508239038044,6,12,45,20,5,1,0,1,False
24,4,65.37417714609495,65.37417714609495,100.0,5,10,36,20,5,0,0,0,False
24,5,70.10758035780498,70.10758035780498,100.0,5,10,38,20,5,1,0,0,False
24,6,82.13468992461601,82.13468992461601,100.0,5,12,52,20,4,1,0,1,False
24,7,75.06435467666319,75.06435467666319,100.0,5,12,44,20,4,0,1,2,False
24,8,66.40160863203027,64.28432867356334,96.81140261194574,5,12,48,20,4,1,1,2,False
24,9,61.91457193005098,61.91457193005098,100.0,5,10,35,20,5,1,0,0,True
25,0,72.0645318356616,66.35569731315537,92.07816331128767,5,10,42,20,5,1,0,0,False
25,1,72.85639122800613,71.21175900328711,97.74263836432401,4,12,43,20,3,1,0,1,False
25,2,68.51588246552245,68.51588246552245,100.0,5,12,48,20,5,1,0,0,True
25,3,69.29449476084037,69.07068959571598,99.67702316627486,4,12,54,20,5,0,1,0,False
25,4,76.45379221735875,74.40939181769603,97.32596599806263,6,10,32,20,6,1,0,0,False
25,5,59.99462634656633,54.34936964860597,90.590396104228,5,10,38,20,5,1,0,0,False
25,6,87.11463185009221,87.11463185009221,100.0,6,12,45,20,5,1,0,1,True
25,7,68.7826726347734,68.7826726347734,100.0,5,12,54,20,5,0,0,0,False
25,8,84.87845760714916,76.630881411146,90.28307484782985,5,12,47,20,6,0,1,0,True
25,9,76.38475218283106,76.38475218283106,100.0,5,10,41,20,4,0,1,2,False
26,0,75.3041751387757,68.72302336203684,91.26057517446985,4,10,44,20,4,0,1,1,False
26,1,65.94355559117938,60.333976816176595,91.49336318808821,5,12,42,20,5,1,0,0,False
26,2,77.63111188899043,75.9458106082789,97.82909037407394,4,12,48,20,4,1,0,0,True
26,3,82.2041702010147,82.2041702010147,100.00000000000001,4,12,52,20,3,1,0,1,True
26,4,74.95062824556612,74.95062824556612,100.0,6,10,36,20,6,0,1,1,False
26,5,65.14244293953712,62.520183059256055,95.97457546577589,4,10,43,20,4,1,0,0,True
26,6,69.62278186474019,69.62278186474019,100.0,6,12,50,20,5,1,0,1,False
26,7,82.14561920117505,80.34724685342098,97.81075075549695,6,12,42,20,6,1,0,0,False
26,8,72.0679386820137,66.38904183502598,92.1200787051163,6,12,48,20,5,1,0,1,False
26,9,75.97556166972211,75.97556166972211,100.0,5,10,43,20,4,1,0,1,False
27,0,70.36248715197547,70.36248715197547,100.0,5,10,41,20,4,1,0,1,False
27,1,79.06055705944439,78.9284442452839,99.83289668189265,4,12,52,20,3,1,0,1,False
27,2,71.75722324078906,71.75722324078906,100.0,5,12,55,20,4,0,1,2,False
27,3,81.61118791536393,81.61118791536393,100.0,5,12,46,20,3,1,0,2,False
27,4,81.11602523407905,81.11602523407905,100.0,5,10,36,20,5,0,1,1,False
27,5,64.92262849933425,64.92262849933425,100.0,6,10,40,20,6,0,0,0,False
27,6,85.88015704535802,85.88015704535802,99.99999999999999,5,12,51,20,4,1,0,1,False
27,7,71.95383166542561,69.55413443037939,96.66494864901087,4,12,53,20,4,1,0,0,False
27,8,68.5627749774552,68.5627749774552,100.0,4,12,46,20,4,0,1,1,False
